survived,age,sex,fare
0,22,male,7.25
1,38,female,71.2833
1,26,female,7.925
1,35,female,53.1
0,35,male,8.05
0,54,male,51.8625
0,2,male,21.075
1,27,female,11.1333
1,14,female,30.0708
1,4,female,16.7
1,58,female,26.55
0,20,male,8.05
0,39,male,31.275
0,14,female,7.8542
1,55,female,16
0,2,male,29.125
0,31,female,18
0,35,male,26
1,34,male,13
1,15,female,8.0292
1,28,male,35.5
0,8,female,21.075
1,38,female,31.3875
0,19,male,263
0,40,male,27.7208
0,66,male,10.5
0,28,male,82.1708
0,42,male,52
0,21,male,8.05
0,18,female,18
1,14,female,11.2417
0,40,female,9.475
0,27,female,21
1,3,female,41.5792
1,19,female,7.8792
0,18,female,17.8
0,7,male,39.6875
0,21,male,7.8
1,49,female,76.7292
1,29,female,26
0,65,male,61.9792
1,21,female,10.5
0,28.5,male,7.2292
1,5,female,27.75
0,11,male,46.9
0,22,male,7.2292
1,38,female,80
0,45,male,83.475
0,4,male,27.9
1,29,female,10.5
0,19,male,8.1583
1,17,female,7.925
0,26,male,8.6625
0,32,male,10.5
0,16,female,46.9
0,21,male,73.5
0,26,male,14.4542
1,32,male,56.4958
0,25,male,7.65
1,0.83,male,29
1,30,female,12.475
0,22,male,9
1,29,male,9.5
0,28,male,47.1
1,17,female,10.5
1,33,female,15.85
0,16,male,34.375
1,23,female,263
0,24,male,8.05
0,29,male,8.05
0,20,male,7.8542
0,46,male,61.175
0,26,male,20.575
0,59,male,7.25
0,71,male,34.6542
1,23,male,63.3583
1,34,female,23
0,34,male,26
0,28,female,7.8958
0,21,male,77.2875
0,33,male,8.6542
0,37,male,7.925
0,28,male,7.8958
1,21,female,7.65
0,38,male,7.8958
0,47,male,52
0,14.5,female,14.4542
0,22,male,8.05
0,20,female,9.825
0,17,female,14.4583
0,21,male,7.925
0,70.5,male,7.75
0,29,male,21
0,24,male,247.5208
0,2,female,31.275
0,21,male,73.5
0,32.5,male,30.0708
1,32.5,female,13
0,54,male,77.2875
1,12,male,11.2417
1,24,male,7.1417
0,45,male,6.975
0,33,male,7.8958
0,20,male,7.05
0,47,female,14.5
1,29,female,26
0,25,male,13
0,23,male,15.0458
1,19,female,26.2833
0,37,male,53.1
0,16,male,9.2167
0,24,male,79.2
1,22,female,7.75
1,24,female,15.85
0,19,male,6.75
0,18,male,11.5
0,19,male,36.75
1,27,male,7.7958
0,9,female,34.375
0,36.5,male,26
0,42,male,13
0,51,male,12.525
1,22,female,66.6
0,55.5,male,8.05
0,40.5,male,14.5
0,51,male,61.3792
1,16,female,7.7333
0,30,male,8.05
0,44,male,16.1
1,40,female,15.75
0,26,male,7.775
0,17,male,8.6625
0,1,male,39.6875
1,9,male,20.525
0,45,female,27.9
0,28,male,56.4958
0,61,male,33.5
0,4,male,29.125
1,1,female,11.1333
0,21,male,7.925
0,56,male,30.6958
0,18,male,7.8542
0,50,female,28.7125
0,30,male,13
0,36,male,0
0,9,male,31.3875
1,1,male,39
1,4,female,22.025
1,45,male,26.55
0,40,male,15.5
0,36,male,7.8958
1,32,female,13
0,19,male,13
1,19,female,7.8542
1,3,male,26
1,44,female,27.7208
1,58,female,146.5208
0,42,male,8.4042
0,24,female,13
0,28,male,9.5
0,34,male,6.4958
0,45.5,male,7.225
1,18,male,8.05
0,2,female,10.4625
0,32,male,15.85
1,26,male,18.7875
1,16,female,7.75
1,40,male,31
0,24,male,7.05
1,35,female,21
0,22,male,7.25
0,30,male,13
1,31,female,113.275
1,27,female,7.925
0,42,male,27
1,32,female,76.2917
0,30,male,10.5
1,16,male,8.05
0,27,male,13
0,51,male,8.05
1,38,male,90
0,22,male,9.35
1,19,male,10.5
0,20.5,male,7.25
0,18,male,13
1,35,female,83.475
0,29,male,7.775
0,59,male,13.5
1,5,female,31.3875
0,24,male,10.5
0,44,male,26
1,8,female,26.25
0,19,male,10.5
0,33,male,12.275
0,29,male,10.5
0,22,male,7.125
0,30,male,7.225
0,44,male,90
0,25,female,7.775
1,24,female,14.5
1,37,male,52.5542
0,54,male,26
0,29,female,10.4625
0,62,male,26.55
0,30,male,16.1
0,41,female,20.2125
1,29,female,15.2458
1,30,female,86.5
1,35,female,512.3292
1,50,female,26
1,3,male,31.3875
0,52,male,79.65
0,40,male,0
0,36,male,10.5
0,16,male,39.6875
1,25,male,7.775
1,58,female,153.4625
1,35,female,135.6333
1,25,male,0
1,41,female,19.5
0,37,male,29.7
1,63,female,77.9583
0,45,female,7.75
0,7,male,29.125
1,35,female,20.25
0,65,male,7.75
0,28,male,7.8542
0,16,male,9.5
1,19,male,8.05
0,33,male,8.6625
1,30,male,9.5
0,22,male,7.8958
1,42,male,13
1,22,female,7.75
1,26,female,78.85
1,19,female,91.0792
0,36,male,12.875
0,24,female,8.85
0,24,male,7.8958
0,23.5,male,7.2292
0,2,female,151.55
1,50,female,247.5208
0,19,male,0
1,0.92,male,151.55
1,17,female,108.9
0,30,male,24
1,30,female,56.9292
1,24,female,83.1583
1,18,female,262.375
0,26,female,26
0,28,male,7.8958
0,43,male,26.25
1,26,female,7.8542
1,24,female,26
0,54,male,14
1,31,female,164.8667
1,40,female,134.5
0,22,male,7.25
0,27,male,7.8958
1,30,female,12.35
1,22,female,29
1,36,female,135.6333
0,61,male,6.2375
1,36,female,13
1,31,female,20.525
1,16,female,57.9792
0,45.5,male,28.5
0,38,male,153.4625
0,16,male,18
0,29,male,66.6
1,41,female,134.5
1,45,male,8.05
0,45,male,35.5
1,2,male,26
1,24,female,263
0,28,male,13
0,25,male,13
0,36,male,13
1,24,female,13
1,40,female,13
1,3,male,15.9
0,42,male,8.6625
0,23,male,9.225
0,15,male,7.2292
0,25,male,17.8
0,28,male,9.5
1,22,female,55
0,38,female,13
0,40,male,27.9
0,29,male,27.7208
0,45,female,14.4542
0,35,male,7.05
0,30,male,7.25
1,60,female,75.25
1,24,female,69.3
1,25,male,55.4417
0,18,male,6.4958
0,19,male,8.05
0,22,male,135.6333
0,3,female,21.075
1,22,female,7.25
0,27,male,211.5
0,20,male,4.0125
0,19,male,7.775
1,42,female,227.525
1,1,female,15.7417
0,32,male,7.925
1,35,female,52
0,18,male,73.5
0,1,male,46.9
1,36,female,13
1,17,female,12
1,36,male,120
1,21,male,7.7958
0,28,male,7.925
1,23,female,113.275
1,24,female,16.7
0,22,male,7.7958
0,31,female,7.8542
0,46,male,26
0,23,male,10.5
1,28,female,12.65
1,39,male,7.925
0,26,male,8.05
0,21,female,9.825
0,28,male,15.85
0,20,female,8.6625
0,34,male,21
0,51,male,7.75
1,3,male,18.75
0,21,male,7.775
1,33,female,90
1,44,male,7.925
1,34,female,32.5
1,18,female,13
0,30,male,13
0,10,female,24.15
0,21,male,7.7333
0,29,male,7.875
0,28,female,14.4
0,18,male,20.2125
1,28,female,26
1,19,female,26
1,32,male,8.05
1,28,male,26.55
1,42,female,26
0,17,male,7.125
0,50,male,55.9
1,14,female,120
0,21,female,34.375
1,24,female,18.75
0,64,male,263
0,31,male,10.5
1,45,female,26.25
0,20,male,9.5
0,25,male,7.775
1,28,female,13
1,4,male,81.8583
1,13,female,19.5
1,34,male,26.55
1,5,female,19.2583
1,52,male,30.5
0,36,male,27.75
0,30,male,27.75
1,49,male,89.1042
1,29,male,7.8958
0,65,male,26.55
1,50,female,10.5
1,48,male,26.55
0,34,male,8.05
0,47,male,38.5
0,48,male,13
0,38,male,7.05
0,56,male,26.55
1,0.75,female,19.2583
0,38,male,8.6625
1,33,female,27.75
1,23,female,13.7917
0,22,female,9.8375
0,34,male,21
0,29,male,7.0458
0,22,male,7.5208
1,2,female,12.2875
0,9,male,46.9
0,50,male,8.05
1,63,female,9.5875
1,25,male,91.0792
1,35,female,90
0,58,male,29.7
0,30,male,8.05
1,9,male,15.9
0,21,male,7.25
0,55,male,30.5
0,71,male,49.5042
0,21,male,8.05
1,54,female,78.2667
0,25,female,151.55
0,24,male,7.7958
0,17,male,8.6625
0,21,female,7.75
0,37,female,9.5875
1,16,female,86.5
0,18,male,108.9
1,33,female,26
0,28,male,22.525
1,26,male,56.4958
1,29,male,7.75
1,36,male,26.2875
1,54,female,59.4
0,24,male,7.4958
0,47,male,34.0208
1,34,female,10.5
1,36,female,26
0,32,male,7.8958
1,30,female,93.5
0,22,male,7.8958
1,44,female,57.9792
0,40.5,male,7.75
1,50,female,10.5
0,39,male,7.925
0,23,male,11.5
1,2,female,26
0,17,male,7.2292
0,30,female,8.6625
1,7,female,26.25
0,45,male,26.55
1,30,female,106.425
1,22,female,49.5
1,36,female,71
0,9,female,31.275
0,11,female,31.275
1,32,male,26
0,50,male,106.425
0,64,male,26
1,19,female,26
0,33,male,20.525
1,8,male,36.75
1,17,male,110.8833
0,27,male,26
1,22,male,7.225
1,22,female,7.775
0,62,male,26.55
1,48,female,39.6
1,39,female,79.65
1,36,female,17.4
0,40,male,7.8958
0,28,male,13.5
0,24,male,24.15
0,19,male,7.8958
0,29,female,21.075
1,32,male,7.8542
1,62,male,10.5
1,53,female,51.4792
1,36,male,26.3875
0,16,male,8.05
0,19,male,14.5
1,34,female,13
1,39,female,55.9
1,32,male,7.925
1,25,female,30
1,39,female,110.8833
0,54,male,26
0,36,male,40.125
1,18,female,79.65
0,47,male,15
1,60,male,79.2
0,22,male,8.05
0,35,male,7.125
1,52,female,78.2667
0,47,male,7.25
0,37,male,26
0,36,male,24.15
0,49,male,0
1,49,male,56.9292
1,24,female,27
0,44,male,8.05
1,35,male,26.55
0,36,male,15.55
0,30,male,7.8958
1,27,male,30.5
1,22,female,41.5792
1,40,female,153.4625
0,39,female,31.275
0,35,male,8.05
1,24,female,65
0,34,male,14.4
0,26,female,16.1
1,4,female,39
0,26,male,10.5
0,27,male,14.4542
1,42,male,52.5542
1,20,male,15.7417
0,21,male,7.8542
0,21,male,16.1
0,61,male,32.3208
0,57,male,12.35
1,21,female,77.9583
0,26,male,7.8958
1,80,male,30
0,51,male,7.0542
1,32,male,30.5
0,9,female,27.9
1,28,female,13
0,32,male,7.925
0,31,male,26.25
0,41,female,39.6875
0,20,male,7.8542
